ADOPTIONNUMBER,ANIMALID,OWNERID,RETAILERID,MOVEMENTDATE,RETURNDATE,RETURNEDREASONID,RETURNEDBYOWNERID
2637,832,1059,0,12/3/15,None,13,0
2567,852,1043,0,11/18/15,None,13,0
2186,663,889,3,8/9/15,12/1/15,4,0
2623,934,758,0,12/1/15,None,13,0
2624,797,934,0,12/1/15,None,13,0
2632,871,1056,3,12/3/15,None,13,0
2634,919,1057,0,12/3/15,None,13,0
2635,893,1058,0,12/3/15,None,13,0
2636,831,1059,0,12/3/15,None,13,0
2646,829,1060,0,12/5/15,None,13,0
2650,881,1061,0,12/5/15,None,13,0
2651,930,1062,0,12/5/15,None,13,0
2652,890,1063,0,12/5/15,None,13,0
2653,830,1063,0,12/5/15,None,13,0
2654,902,1064,3,12/5/15,None,13,0
2655,939,1065,3,12/5/15,None,13,0
3309,1155,1277,3,5/4/16,None,13,0
4075,71,333,0,9/22/16,None,0,0
2683,895,414,3,12/12/15,None,13,0
2698,896,1074,0,12/15/15,None,13,0
2684,576,1071,0,12/12/15,None,13,0
2671,826,1067,0,12/10/15,None,13,0
2672,888,1068,0,12/10/15,None,13,0
2679,938,1069,3,12/12/15,None,13,0
2680,883,1069,3,12/12/15,None,13,0
2681,884,923,0,12/12/15,None,13,0
2686,927,1072,0,12/13/15,None,13,0
2682,891,1070,3,12/12/15,None,13,0
2696,886,1073,3,12/14/15,None,13,0
2697,885,1073,3,12/14/15,None,13,0
2699,944,1075,3,12/16/15,None,13,0
2700,945,1075,3,12/16/15,None,13,0
2701,872,1076,0,12/16/15,None,13,0
2714,959,1077,0,12/17/15,None,13,0
2715,958,1077,0,12/17/15,None,13,0
2716,965,1078,3,12/17/15,None,13,0
3310,1172,1277,3,5/4/16,None,13,0
2720,916,1079,0,12/19/15,None,13,0
2733,946,1091,0,12/26/15,None,13,0
2721,909,1080,3,12/19/15,None,13,0
2722,956,1082,0,12/19/15,None,13,0
2734,947,1091,0,12/26/15,None,13,0
2723,858,1083,0,12/19/15,None,13,0
2724,943,414,0,12/19/15,None,13,0
2725,960,1084,0,12/19/15,None,13,0
2726,951,1085,0,12/19/15,None,13,0
2728,950,1087,0,12/21/15,None,13,0
2736,730,1092,0,12/28/15,None,13,0
2729,942,1088,0,12/22/15,None,13,0
2730,917,1086,0,12/23/15,None,13,0
2737,729,1092,0,12/28/15,None,13,0
2731,865,1089,3,12/23/15,None,13,0
2732,948,1090,0,12/26/15,None,13,0
2740,985,1093,0,6/1/15,12/29/15,4,0
2741,986,1093,0,6/1/15,12/29/15,4,0
2748,932,1094,0,12/29/15,None,13,0
2749,963,1094,0,12/29/15,None,13,0
2750,933,1095,0,12/30/15,None,13,0
2757,937,1097,0,12/31/15,None,13,0
2761,28,47,0,1/1/16,None,13,0
2762,964,1098,0,1/1/16,None,13,0
2763,803,1099,0,1/2/16,None,13,0
2767,970,1101,0,1/2/16,None,13,0
3404,1182,1315,3,5/19/16,None,13,0
2776,941,1103,3,1/3/16,None,13,0
2788,837,245,0,1/6/16,None,13,0
2778,969,1105,3,1/3/16,None,13,0
2780,921,1106,0,1/3/16,None,13,0
2781,962,1106,0,1/3/16,None,13,0
2789,961,1107,3,1/6/16,None,13,0
2795,974,758,0,1/7/16,None,13,0
2796,757,1110,0,1/7/16,None,13,0
2797,982,1111,0,1/7/16,None,13,0
2798,971,1112,3,1/8/16,None,13,0
2803,955,1113,0,1/9/16,None,13,0
2805,973,1114,0,1/9/16,None,13,0
2804,972,1113,0,1/9/16,None,13,0
2811,975,1118,0,1/10/16,None,13,0
2812,954,1118,0,1/10/16,None,13,0
2813,952,1119,3,1/10/16,None,13,0
2814,953,1119,3,1/10/16,None,13,0
2815,987,1115,3,1/9/16,None,13,0
2423,818,996,0,10/17/15,8/24/16,5,0
2832,992,1122,0,1/14/16,None,13,0
2848,983,1127,0,1/17/16,3/3/16,4,0
2836,904,1124,0,1/14/16,None,13,0
2837,978,1125,0,1/14/16,None,13,0
2849,968,1128,0,1/17/16,None,13,0
2845,857,1044,0,1/16/16,None,13,0
2865,663,1133,3,1/21/16,None,13,0
2847,999,1126,0,1/16/16,None,13,0
2850,1029,387,0,1/8/16,None,13,0
2861,979,1130,3,1/21/16,None,13,0
2862,966,1131,0,1/21/16,None,13,0
2863,976,1132,0,1/21/16,None,13,0
2864,990,1133,3,1/21/16,None,13,0
2873,564,56,0,1/23/16,None,13,0
2872,995,1134,3,1/23/16,None,13,0
2874,993,1135,0,1/23/16,None,13,0
2882,936,1137,0,1/26/16,None,13,0
2901,980,1143,0,1/30/16,None,13,0
2883,998,1138,3,1/26/16,None,13,0
2888,996,1139,3,1/27/16,None,13,0
2829,906,1121,0,1/13/16,2/4/16,2,0
2889,1006,1140,0,1/28/16,None,13,0
3405,1089,1314,3,5/19/16,None,13,0
2890,1004,909,0,1/28/16,None,13,0
2910,1021,1149,0,2/1/16,None,13,0
2904,1045,1145,0,1/30/16,None,13,0
2905,546,768,0,1/30/16,None,13,0
2906,530,1146,0,1/30/16,None,13,0
2909,988,1148,3,2/1/16,None,13,0
2828,905,1121,0,1/13/16,2/4/16,2,0
2914,1020,1150,3,2/4/16,None,13,0
2918,1002,152,3,2/4/16,None,13,0
2917,1009,1151,3,2/4/16,None,13,0
1654,464,729,0,3/29/15,5/4/16,5,0
2960,1028,1167,3,2/13/16,None,13,0
2941,989,1162,3,2/10/16,None,13,0
2928,1005,1152,3,2/6/16,None,13,0
2929,1001,1124,0,2/6/16,None,13,0
2931,977,1153,0,2/6/16,None,13,0
2932,905,1154,0,2/6/16,None,13,0
2933,906,1154,0,2/6/16,None,13,0
2936,991,1157,3,2/7/16,None,13,0
2944,1034,1058,3,2/10/16,None,13,0
2934,1053,1155,3,2/6/16,None,13,0
2940,1007,1161,0,2/9/16,None,13,0
2952,1057,1165,0,2/11/16,None,13,0
2964,1058,1169,3,2/13/16,None,13,0
2962,840,865,0,2/13/16,None,13,0
2963,1068,1168,3,2/13/16,None,13,0
2965,1037,1170,0,2/15/16,None,13,0
2966,1036,1170,0,2/15/16,None,13,0
2967,1035,1171,0,2/15/16,None,13,0
2907,1038,1147,0,1/30/16,2/16/16,4,0
3338,920,1287,0,5/13/16,None,13,0
3335,1203,101,0,5/13/16,None,13,0
3359,1156,1290,0,5/14/16,None,13,0
3371,1225,436,0,5/15/16,None,13,0
15328,8521,10694,0,1/2/20,None,13,0
2979,1047,1172,3,2/20/16,None,13,0
2980,1042,1173,0,2/20/16,None,13,0
2981,997,1083,0,2/20/16,None,13,0
2982,1049,1174,0,2/21/16,None,13,0
2986,1043,1175,3,2/22/16,None,13,0
2987,1066,1176,3,2/22/16,None,13,0
3467,1217,1349,0,5/28/16,None,13,0
3468,1218,1349,0,5/28/16,None,13,0
3464,1223,1348,0,5/28/16,None,13,0
3472,1146,1339,3,5/26/16,None,0,0
3471,1144,1339,3,5/26/16,None,0,0
3466,1220,1252,0,5/30/16,None,13,0
3476,1244,1300,0,6/3/16,None,13,0
3474,1254,1355,0,7/14/16,None,13,0
3462,1243,1346,0,6/16/16,None,13,0
3001,1038,1178,0,2/23/16,None,13,0
3019,1077,1185,0,2/28/16,None,13,0
3004,949,1180,0,2/23/16,None,13,0
2422,848,995,0,10/17/15,1/15/16,4,0
3008,1010,1181,0,2/25/16,None,13,0
3009,1078,1181,0,2/25/16,None,13,0
3020,1059,1186,3,2/28/16,None,13,0
3011,1012,1182,0,2/25/16,None,13,0
2670,920,55,0,12/10/15,1/14/16,5,0
3017,1054,1183,0,2/27/16,None,13,0
3021,1027,1186,3,2/28/16,None,13,0
3018,1067,1184,0,2/27/16,None,13,0
3022,74,1187,0,2/28/16,None,13,0
3024,1013,1189,0,2/28/16,None,13,0
2347,542,966,0,9/26/15,3/3/16,4,0
3025,1064,1190,0,2/28/16,None,13,0
3026,1074,1191,3,2/28/16,None,13,0
3038,1070,1194,0,3/5/16,None,13,0
3040,983,1195,0,3/6/16,None,13,0
3041,1076,1196,0,3/6/16,None,13,0
3047,1052,1198,0,3/8/16,None,13,0
3057,1075,1199,0,3/10/16,None,13,0
3058,1105,1200,0,3/10/16,None,13,0
3059,1104,1200,0,3/10/16,None,13,0
3065,889,1201,0,3/11/16,None,13,0
3070,1090,1204,3,3/12/16,None,13,0
3067,1025,1202,0,3/12/16,None,13,0
3071,1095,1204,3,3/12/16,None,13,0
3068,1051,1203,0,3/12/16,None,13,0
3073,1097,1206,0,3/13/16,None,13,0
3074,1046,1207,0,3/13/16,None,13,0
3086,1100,1209,0,3/16/16,None,13,0
3088,1116,1210,0,3/17/16,None,13,0
3090,1083,1212,3,3/17/16,None,13,0
3089,1079,1211,0,3/17/16,None,13,0
3095,1099,1213,0,3/19/16,None,13,0
3096,1098,1214,0,3/19/16,None,13,0
3097,1125,1214,0,3/19/16,None,13,0
3098,1081,1065,3,3/19/16,None,13,0
3117,14,1222,0,3/24/16,None,13,0
3116,1130,1221,0,3/24/16,None,13,0
3101,1060,1215,3,3/20/16,None,13,0
3102,1114,1216,3,3/20/16,None,13,0
3125,1055,1225,3,3/26/16,None,13,0
3104,1129,1219,0,3/22/16,None,13,0
3105,1128,1219,0,3/22/16,None,13,0
3115,1106,1221,0,3/24/16,None,13,0
3122,1088,1223,0,3/26/16,None,13,0
3124,1093,1224,0,3/26/16,None,13,0
3123,1015,808,3,3/26/16,None,13,0
3130,1119,1227,0,3/28/16,None,13,0
3131,1084,1228,3,3/28/16,None,13,0
3136,1087,1229,0,3/29/16,None,13,0
8671,4472,364,3,4/29/18,3/18/19,5,364
3154,1086,1232,0,3/31/16,None,13,0
3155,1133,1233,0,3/31/16,None,13,0
3156,1131,1234,0,4/1/16,None,13,0
3157,1132,972,0,4/2/16,None,13,0
3158,1080,1235,3,4/3/16,None,13,0
3159,1101,1236,3,4/3/16,None,13,0
3160,1110,1232,3,4/3/16,None,13,0
3161,1158,1237,0,4/3/16,None,13,0
3166,1056,1238,0,4/5/16,None,13,0
3202,1109,1245,3,4/12/16,None,13,0
3203,1139,1244,0,4/12/16,None,13,0
3208,497,929,0,4/13/16,None,13,0
3256,1186,1272,0,5/8/16,None,13,0
3212,1137,1253,3,4/15/16,None,13,0
3213,1134,1260,0,4/16/16,None,13,0
20135,10994,14346,0,1/27/21,2/2/21,4,0
304,97,142,0,5/15/14,3/24/16,4,0
2951,1041,1164,0,2/11/16,4/21/16,5,0
2585,633,1048,0,11/22/15,4/21/16,4,0
3226,1148,1264,0,4/21/16,None,13,0
3255,1122,1246,0,4/23/16,None,13,0
3254,1065,1270,3,4/23/16,None,13,0
3259,1073,1274,3,4/26/16,None,13,0
3257,1173,1269,0,4/27/16,None,13,0
3429,464,1310,0,5/22/16,None,13,0
3417,1192,1280,0,5/21/16,None,13,0
3420,1179,1321,0,5/21/16,None,13,0
3421,1178,1321,0,5/21/16,None,13,0
3422,1221,1311,3,5/21/16,None,13,0
3423,1193,1307,0,5/22/16,None,13,0
3428,1138,1324,0,5/22/16,None,13,0
3441,1190,1322,0,5/24/16,None,13,0
